OrgId,OrgName
14888,25BN(ACCOUNT)SAF
9727,7BN(A COMPANY)SAF BHOPAL
9728,7BN(B COMPANY)SAF BHOPAL
9729,7BN(C COMPANY)SAF BHOPAL
9740,7BN(Central Police Canteen)SAF
9730,7BN(D COMPANY)SAF BHOPAL
9747,7BN(DGP RESERVE)SAF BHOPAL
9731,7BN(E COMPANY)SAF BHOPAL
9722,7BN(Establishment)SAF BHOPAL
9732,7BN(F COMPANY)SAF BHOPAL
9721,7BN(HEAD CLERK)SAF BHOPAL
9726,7BN(HQ COMPANY)SAF BHOPAL
9744,7BN(Motor Transport)SAF BHOPAL
9737,7BN(Mounted Troop)SAF BHOPAL
9741,7BN(NGO MESS)SAF BHOPAL
9723,7BN(NPF Account)SAF BHOPAL
9735,7BN(OFFICER MESS)SAF BHOPAL
9716,7BN(O/o ADDITIONAL SUPERINTENDENT POLICE)SAF BHOPAL
9719,7BN(O/o ADJUTANT)SAF BHOPAL
9718,7BN(O/o ASSISTANT COMMANDANT)SAF BHOPAL
9714,7BN(O/o COMMANDANT)SAF BHOPAL
9715,7BN(O/o DEPUTY COMMANDANT)SAF BHOPAL
9717,7BN(O/o DEPUTY SUPERINTENDENT POLICE)SAF BHOPAL
9736,7BN(PETROL PUMP)SAF BHOPAL
9739,7BN(PIONEER)SAF BHOPAL
9725,7BN(Police Hospital)SAF BHOPAL
9724,7BN(Protima Mallick Woman Hospital)SAF BHOPAL
9745,7BN(PTS ARMS)SAF BHOPAL
9746,7BN(PTS BAND)SAF BHOPAL
9734,7BN(QUARTER MASTER)SAF BHOPAL
9733,7BN(SPORTS)SAF BHOPAL
9743,7BN(Subedar Major)SAF BHOPAL
9742,7BN(Super Bazar)SAF BHOPAL
9749,7BN(Vishram Bhawan)SAF BHOPAL
10805,AFRC(O/oChairman)
10807,AFRC(O/oOSD)
10808,AFRC(Section-1)
10809,AFRC(Section-2)
13651,AG(ACCOUNT SECTION)
13664,AG(IT SECTION)
15318,AGM (ALPBACHAT) COLL
12100,AGM(COMPLAINT SECTION)COLL
12099,AGM(COURT SECTION)COLL
15316,AGM(DHARMASVA)COLL
12104,AGM(ELECTION SECTION)COLL
12002,AGM(ESTABLISHMENT SECTION)COLL
13771,AGM(GOVT POLYTECHNIC COLLEGE)COLL
15315,AGM(INSTITUTIONAL FIANANCE)COLL
15317,AGM(JANSUNWAI)COLL
15313,AGM (LAND ACQUISITION)COLL
15311,AGM(LAW SECTION)COLL
15314,AGM(LOCAL ELECTION)COLL
12005,AGM(NAKAL SECTION)COLL
12006,AGM(NAZARAT SECTION)COLL
11830,AGM(O/o Additional Collector)
13707,AGM(O/o AGRICULTURE)COLL
13715,AGM(O/o ANIMAL HUSBANDRY)COLL
13714,AGM(O/o BACKWARD CLASS AND MINORITY WELFARE)COLL
13703,AGM(O/o CHIEF MEDICAL HEALTH OFFICE)COLL
8843,AGM(O/o COLLECTOR)COLL
8854,AGM(O/o DEPUTY COLLECTOR)COLL
18505,AGM(O/o DISTRICT ANTYAVASAYI SAHKARI VIKAS SAMITI )Coll
13704,AGM(O/o DISTRICT EDUCATION OFFICE)COLL
13785,AGM(O/o DISTRICT e-GOVERNANCE SOCIETY)COLL
15814,AGM(O/o District Employement)COLL
15815,AGM(O/oDUDA)COLL
14540,AGM(O/oExcise)Coll
13710,AGM(O/o FISHERIES)COLL
8840,AGM(O/o FOOD)COLL
13713,AGM(O/o HORTICULTURE)COLL
13709,AGM(O/o INDUSTRIES)COLL
8841,AGM(O/o JOINT COLLECTOR)COLL
13712,AGM(O/o LABOUR)COLL
13780,AGM(O/o MINERAL RESOURCES DEPARTMENT)COLL
8790,AGM(O/o NIC)
14542,AGM(O/oNRLM)COLL
8839,AGM(O/o OFFICE SUPERINTENDENT)COLL
13598,AGM(O/o PENSION)COLL
13702,AGM(O/o PLANNING ECONOMICS AND STATISTICS)COLL
13781,AGM(O/o PUBLIC HEALTH ENGINEERING)COLL
13786,AGM(O/o Public Relation)
13773,AGM(O/o PUBLIC SERVICE MANAGEMENT)COLL
13708,AGM(O/o PWD)COLL
13775,AGM(O/o REGISTRAR COOPERATIVE SOCIETIES)COLL
17177,AGM(O/o Rural Engineering Service )COLL
13790,AGM(O/oSDM-AGAR)COLL
13791,AGM(O/oSDM-SUSNER)COLL
13770,AGM(O/o SOCIAL JUSTICE AND DISABLED PERSONS WELFARE)COLL
8842,AGM(O/o SUPERINTENDENT LAND RECORDS)COLL
16855,AGM(O/o Tehsil-Agar)COLL
16856,AGM(O/oTehsil-Barod)COLL
16858,AGM(O/oTehsil-Nalkheda)COLL
16857,AGM(O/oTehsil-Susner)COLL
13782,AGM(O/o TRANSPORT)COLL
13701,AGM(O/o TRIBAL)COLL
13776,AGM(O/o WOMAN CHILD DEVELOPMENT)COLL
13695,AGM(O/o ZILA PANCHAYAT)COLL
13705,AGM(O/o ZILA SIKSHA KENDRA)COLL
12004,AGM(REVENUE SECTION)COLL
12103,AGM(RTI SECTION)COLL
12109,AGM(SENIOR CLERK SECTION)COLL
15312,AGM(STATISTICAL WORK)COLL
15319,AGM(Time Limit)COLL
12105,AGR(ARMS SECTION)COLL
12107,AGR(RECORD ROOM SECTION)COLL
7955,ALI(O/o COLLECTOR)COLL
16373,ALI(O/o PENSION)COLL
12906,ALIRAJPUR(COMPLAINT)COLL
12909,ALIRAJPUR(ELECTION)COLL
12898,ALIRAJPUR(ESTABLISHMENT)COLL
12902,ALIRAJPUR(NAZARAT)COLL
7365,ALIRAJPUR(O/o ADDITIONAL COLLECTOR)COLL
8020,ALIRAJPUR(O/o ANIMAL HUSBANDRY)COLL
7954,ALIRAJPUR(O/o DEPUTY COLLECTOR)COLL)
7959,ALIRAJPUR(O/oDISTRICT EDUCATION OFFICE)COLL
7956,ALIRAJPUR(O/oe-GOVERNANCE SOCIETY)COLL
7951,ALIRAJPUR(O/o EXCISE)COLL
7361,ALIRAJPUR(O/o FOOD)COLL
7967,ALIRAJPUR(O/o HORTICULTURE)COLL
7965,ALIRAJPUR(O/o LABOUR)COLL
8018,ALIRAJPUR(O/o NIC)COLL
12897,ALIRAJPUR(O/o OFFICE SUPRITENDENT)COLL
7968,ALIRAJPUR(O/o PLANNING ECONOMICS STATISTICS)COLL
12920,ALIRAJPUR(O/o PUBLIC SERVICE MANAGEMENT)COLL
8019,ALIRAJPUR(O/o SOCIAL JUSTICE DISABLED PERSONS WELFARE)COLL
7962,ALIRAJPUR(O/o SUPERINTENDENT LAND RECORDS)COLL
7958,ALIRAJPUR(O/o TRIBAL DEPARTMENT)COLL
12923,ALIRAJPUR(O/o WOMAN CHILD DEVELOPMENT)COLL
7957,ALIRAJPUR(O/o ZILA PANCHAYAT)COLL
7960,ALIRAJPUR(O/o ZILA SHIKSHA KENDRA)COLL
12900,ALIRAJPUR(REVENUE)COLL
12908,ALIRAJPUR(RIGHT TO INFORMATION)COLL
19158,ALI(RELIEF)COLL
6042,Animal Husbandry (RECORD CELL)
426,ANIMAL-O/o Minister
9679,ANIMAL-O/o officer on Special Duty
376,ANIMAL-(O/o Principle Secretary)
117,ANIMAL-Section-1
12143,ANP(COMPLAINT SECTION)COLL
12142,ANP(COURT SECTION)COLL
12145,ANP(ELECTION SECTION)COLL
12136,ANP(ESTABLISHMENT SECTION)COLL
12425,ANP(LAND ACQUISITION)COLL
12137,ANP(NAKAL SECTION)COLL
12138,ANP(NAZARAT SECTION)COLL
12128,ANP(O/o ADDITIONAL COLLECTOR)COLL
12129,ANP(O/o ADDITIONAL DISTRICT MAGISTRATE)COLL
13240,ANP(O/o AGRICULTURE)COLL
13542,ANP(O/o ANIMAL HUSBANDRY)COLL
17154,ANP(O/o ATMA)COLL
8511,ANP(O/o AYUSH)COLL
12601,ANP(O/o BACKWARD CLASS AND MINORITY WELFARE)COLL
14947,ANP(O/o CHIEF MEDICAL & HEALTH OFFICER)COLL
14948,ANP(O/o CIVIL SURGEON)COLL
17395,ANP(O/o COMMERCIAL TAX)COLL
13570,ANP(O/o DISTRICT EDUCATION OFFICE)COLL
12648,ANP(O/o DISTRICT e-GOVERNANCE SOCIETY)COLL
14446,ANP(O/o DISTRICT FOREST OFFICE)COLL
13571,ANP(O/o DISTRICT INSTITUTE EDUCATION AND TRAINING)COLL
14447,ANP(O/o DISTRICT PENSION OFFICE)COLL
14056,ANP(O/o DISTRICT SKILL DEVELOPMENT)COLL
14445,ANP(O/o DISTRICT SPORTS AND YOUTH WELFARE)COLL
13572,ANP(O/o DISTRICT TECHNICAL EDUCATION)COLL
14543,ANP(O/o DUDA)COLL
13237,ANP(O/o EXCISE)COLL
13574,ANP(O/o FISHERIES)COLL
12968,ANP(O/o FOOD)COLL
13541,ANP(O/o HORTICULTURE)COLL
13242,ANP(O/o INDUSTRIES)COLL
16274,ANP(O/o JOINT COLLECTOR)COLL
13540,ANP(O/o LABOUR)COLL
17105,ANP(O/o MANDI BOARD)COLL
13568,ANP(O/o MINERAL RESOURCES DEPARTMENT)COLL
17354,ANP(O/o MP STATE CIVIL SUPPLIES CORPORATION)COLL
12598,ANP(O/o NIC OFFICE)COLL
12133,ANP(O/o OFFICE SUPRITENDENT)COLL
13241,ANP(O/o PLANNING ECONOMICS AND STATISTICS)COLL
13239,ANP(O/o PUBLIC HEALTHAND ENGINEERING)COLL
16301,ANP(O/o PUBLIC PROSECUTION OFFICE)COLL
14057,ANP(O/o PUBLIC RELATION OFFICE)COLL
12646,ANP(O/o PUBLIC SERVICE MANAGEMENT)COLL
13567,ANP(O/o PUBLIC WORK DEPARTMENT)COLL
14847,ANP(O/o PUBLIC WORK DEPARTMENT-PIU)COLL
13243,ANP(O/o REGISTRAR COOPERATIVE SOCIETIES)COLL
13539,ANP(O/o SOCIAL JUSTICS DISABLED PERSONS WELFARE)COLL
13537,ANP(O/o SUPRINTENDENT LAND RECORDS)COLL
16302,ANP(O/o TOWN AND COUNTRY PLANNING)COLL
13573,ANP(O/o TRANSPORT)COLL
8791,ANP(O/o TREASURIES AND ACCOUNTS)COLL
13569,ANP(O/o TRIBAL)COLL
17353,ANP(O/o WAREHOUSING CORPORATION)COLL
13238,ANP(O/o WATER RESOURCE DEPARTMENT)COLL
13538,ANP(O/o WOMAN CHILD DEVELOPMENT)COLL
12649,ANP(O/o ZILA PANCHAYAT)COLL
12969,ANP(O/o ZILA SIKSHA KENDRA)COLL
12147,ANP(RECORD ROOM SECTION)COLL
12424,ANP(RELIFE SECTION)COLL
12135,ANP(REVENUE SECTION)COLL
12141,ANP(RTI SECTION)COLL
12149,ANP(SENIOR CLERK SECTION)COLL
9926,ANUPPUR(O/o COLLECTOR)COLL
